,id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,atl,last_updated
0,bitcoin,btc,Bitcoin,103577.0,2064544060174,1,72533732748.00,107357,103240,-1295.0395889575448,-1.23488,-2.97501e+10,-1.42053,19947384,19947384,21000000,126080,67.81,2025-11-11
1,ethereum,eth,Ethereum,3495.99,421200775773,2,36067836278.00,3640.36,3469.76,-17.1674126506191,-0.48866,-3.17495e+09,-0.74815,1696534.4352596,1696534.4352596,,4946.05,0.432979,2025-11-11
2,tether,usdt,Tether,0.999896,183470788675,3,120180368366.00,1,0.999226,-4.3588052177745e-05,-0.00436,2.54879e+06,0.00139,1834978488.6547,188964784658562,,1.32,0.572521,2025-11-11
3,ripple,xrp,XRP,2.43,146242178016,4,4499575820.00,2.58,2.43,-0.0884008654811805,-3.50414,-5.27647e+09,-3.48239,7199237,99985774127,100000000000,3.65,0.00268621,2025-11-11
4,binancecoin,bnb,BNB,976.61,134412151894,5,1663091993.00,1005.71,973.83,-1.0654005552828494,-0.10897,-2.58055e+08,-0.19162,137737214.5799999,137737213.68,200000000,1369.99,0.0398177,2025-11-11
5,solana,sol,Solana,160.63,88911644138,6,6079758067.00,171.62,160.24,-4.998957158480351,-3.0182,-2.86766e+09,-3.12451,5537391.3437848,613823112.84968,,293.31,0.500801,2025-11-11
6,usd-coin,usdc,USDC,0.9998,76045376884,7,7978237479.00,0.999956,0.999698,2.04914e-07,2e-05,2.13477e+08,0.28151,7687317.71368,78973.78876,,1.17,0.877647,2025-11-11
7,staked-ether,steth,Lido Staked Ether,3491.5,30135186907,8,69594198.00,3630.28,3471.58,-20.805184777726023,-0.59235,-2.3708e+08,-0.78058,8634532.311377518,8634533.83137752,,4932.89,482.9,2025-11-11
8,tron,trx,TRON,0.300582,28454723381,9,646475089.00,0.300594,0.293742,0.00684092,2.32889,6.47004e+08,2.32671,94668334931.1514,94668334931.1514,,0.431288,0.00180434,2025-11-11
9,dogecoin,doge,Dogecoin,0.176267,26727056424,10,1971605641.00,0.184541,0.175931,-0.001872707225801,-1.05126,-2.92118e+08,-1.08115,1517556383.52,1517326383.52,,0.731578,8.69e-05,2025-11-11
10,cardano,ada,Cardano,0.572201,20927471373,11,1002825416.00,0.603184,0.571779,-0.0090575378209413,-1.55826,-2.81675e+08,-1.32808,36595373755.915,4,45000000000,3.09,0.01925275,2025-11-11
11,figure-heloc,figr_heloc,Figure Heloc,1.036,13999142333,12,25851015.00,1.037,1.013,0.0225615,2.22715,2.97287e+08,2.16968,135181322.62,135181322.62,,1.37,0.155357,2025-11-11
12,wrapped-steth,wsteth,Wrapped stETH,4256.71,13923204431,13,36468133.00,4421.94,4233.16,-29.72276813477765,-0.69341,-1.68449e+08,-1.19538,32774.418647463,32774.418647463,,7256.02,558.54,2025-11-11
13,wrapped-bitcoin,wbtc,Wrapped Bitcoin,103405.0,13100348126,14,270224172.00,106751,103153,-1451.9661253342783,-1.38471,-1.79966e+08,-1.35514,126763.48883569,126763.48883569,126763,125932,3139.17,2025-11-11
14,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3782.23,12330236128,15,4617083.00,3940.21,3759.58,-28.00111173236519,-0.73489,-1.10467e+08,-0.88795,3264284.6477729,3264284.6477729,,5330.78,1501.6,2025-11-11
15,whitebit,wbt,WhiteBIT Coin,54.31,11662542375,16,85343763.00,55.67,54.15,-0.1561232629745177,-0.28665,-6.95551e+07,-0.59286,214772248,321272248,400000000,55.67,3.06,2025-11-11
16,chainlink,link,Chainlink,15.81,11007015330,17,751073674.00,16.69,15.76,-0.1765192216336739,-1.10392,-1.2433e+08,-1.11694,6968499.4525868,,1000000000,52.7,0.148183,2025-11-11
17,hyperliquid,hype,Hyperliquid,39.69,10721094840,18,431021842.00,42.23,39.49,-1.241335308573419,-3.03275,-3.86758e+08,-3.48184,2772999.4341414,9998352.4341414,1000000000,59.3,3.81,2025-11-11
18,bitcoin-cash,bch,Bitcoin Cash,511.69,10202869766,19,373265743.00,528.87,502.61,3.01,0.5927,5.73079e+07,0.56486,19951596.771678,19951618.646678,21000000,3785.82,76.93,2025-11-11
19,stellar,xlm,Stellar,0.289682,9284724946,20,200828068.00,0.303821,0.288853,-0.0082250140553385,-2.76093,-2.95615e+08,-3.08565,320871583.53252,1786883.67145,50001786883,0.875563,0.00047612,2025-11-11
20,usds,usds,USDS,0.998871,9201977556,21,23545512.00,1.001,0.998239,0.0006211,0.06222,-1.27138e+08,-1.36281,9782.771751,9782.771751,,1.057,0.948265,2025-11-11
21,wrapped-eeth,weeth,Wrapped eETH,3771.36,9111892634,22,8398764.00,3926.16,3749.38,-25.064548798371103,-0.66021,-1.1541e+08,-1.25074,2419644.4246242,2419644.4246242,,5296.78,1505.24,2025-11-11
22,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999797,8988667185,23,2700687025.00,1.001,0.998166,-0.0006530138335471,-0.06527,1.89708e+06,0.02111,8984993193.453934,8984993193.453934,,1.05,0.942186,2025-11-11
23,leo-token,leo,LEO Token,9.28,8551809645,24,4043104.00,9.28,9.08,0.164155,1.80104,1.53127e+08,1.82322,9222512.9,9852394,,10.14,0.799859,2025-11-11
24,ethena-usde,usde,Ethena USDe,0.999696,8417368046,25,172538512.00,1.001,0.997984,0.00074238,0.07432,-1.97413e+07,-0.23398,8421291157.552236,8421291157.552236,,1.032,0.929486,2025-11-11
25,zcash,zec,Zcash,500.84,8172409676,26,4548743740.00,597.41,463.78,-60.64352219965514,-10.80061,-9.20929e+08,-10.12751,1634.85448,16382343.9155448,21000000,3191.93,16.08,2025-11-11
26,weth,weth,WETH,3494.99,8160870278,27,294763721.00,3633.31,3474.56,-21.25620096019657,-0.60451,6.59995e+08,8.79891,2338913.6920186,2338913.6920186,,4950.08,82.1,2025-11-11
27,hedera-hashgraph,hbar,Hedera,0.183901,7799864974,28,336435207.00,0.195834,0.183233,-0.0045153082206999,-2.39645,-1.82539e+08,-2.28676,42475229924.52624,0,50000000000,0.569229,0.00986111,2025-11-11
28,litecoin,ltc,Litecoin,101.25,7742111278,29,1030288846.00,108.8,100.82,-5.478697815018037,-5.13333,-4.23483e+08,-5.18619,768351.98347135,7684.73347135,84000000,410.26,1.15,2025-11-11
29,sui,sui,Sui,2.08,7656384125,30,875648750.00,2.2,2.08,-0.0509115429231941,-2.38462,-2.30715e+08,-2.92522,36813254.198332,0,10000000000,5.35,0.364846,2025-11-11
30,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,103638.0,7618343893,31,482771305.00,107106,103271,-1428.160945478172,-1.35929,-1.24011e+08,-1.60173,73699.653894,73699.653894,,125954,57439,2025-11-11
31,avalanche-2,avax,Avalanche,17.64,7530152350,32,477537014.00,18.48,17.52,-0.1351758114698462,-0.76028,-5.71499e+07,-0.75323,4285371.68285,44213.75667,720000000,144.96,2.8,2025-11-11
32,monero,xmr,Monero,379.86,7012374748,33,199450770.00,404.41,368.17,-14.63801882135732,-3.71058,-2.64722e+08,-3.63774,1844674473955,1844674473955,,542.33,0.216177,2025-11-11
33,shiba-inu,shib,Shiba Inu,9.8e-06,5774054682,34,169264915.00,1.023e-05,9.79e-06,-1.35622743801e-07,-1.36444,-8.34948e+07,-1.42542,589244779736966.8,58907878235.1,,8.616e-05,5.6366e-11,2025-11-11
34,uniswap,uni,Uniswap,9.01,5663191511,35,4476720548.00,9.93,6.93,2.09,30.09743,1.30226e+09,29.86183,6298927.2713912,,1000000000,44.92,1.03,2025-11-11
35,polkadot,dot,Polkadot,3.21,5237026630,36,371984404.00,3.35,3.14,0.070277,2.23974,1.04739e+08,2.04078,16345756.621615,16345756.6192,,54.98,2.13,2025-11-11
36,the-open-network,ton,Toncoin,2.07,5152785086,37,132564345.00,2.16,2.07,-0.0317998822340022,-1.5105,-1.11109e+08,-2.11078,2486941865.937953,5145489874.9843,,8.25,0.519364,2025-11-11
37,crypto-com-chain,cro,Cronos,0.131091,4733195798,38,28133270.00,0.138551,0.130236,-2.6088239255345e-05,-0.0199,-1.42773e+07,-0.30073,361184194.54621,98148426545.83794,100000000000,0.965407,0.0121196,2025-11-11
38,ethena-staked-usde,susde,Ethena Staked USDe,1.2,4583080408,39,34430666.00,1.2,1.2,-9.861396391475e-06,-0.00082,-3.63701e+07,-0.78733,38113386.156534,38113386.156534,,1.29,1.012,2025-11-11
39,dai,dai,Dai,1.0,4573853590,40,103428265.00,1.001,0.998301,0.00039923,0.03993,-1.21239e+06,-0.0265,45753689.7365,45803195.125473,,1.22,0.88196,2025-11-11
40,world-liberty-financial,wlfi,World Liberty Financial,0.153068,4163514871,41,249184898.00,0.161147,0.14774,-0.0035653504391384,-2.27623,-1.1654e+08,-2.72287,27249569547.24266,,100000000000,0.331336,0.104606,2025-11-11
41,memecore,m,MemeCore,2.41,4092062811,42,13183850.00,2.5,2.38,-0.0931348453867073,-3.72532,-1.61217e+08,-3.79041,10621794.9072,50621794.9348,10000000000,2.96,0.04746135,2025-11-11
42,mantle,mnt,Mantle,1.26,4086075293,43,116985741.00,1.34,1.24,-0.0344993275514209,-2.66706,-1.21369e+08,-2.88461,32529455.73684,6219316794.89,6219316794,2.86,0.307978,2025-11-11
43,canton-network,cc,Canton,0.116381,4049737657,44,53461089.00,0.131611,0.096224,-0.0152303326267888,-11.57221,-6.38252e+08,-13.61463,3496233.886,3495135.11479,,0.159483,0.096224,2025-11-11
44,usdt0,usdt0,USDT0,1.0,3794257923,45,240394326.00,1.001,0.998704,4.387e-05,0.00439,1.64655e+08,4.53646,3792725213.529497,3789889696.483571,,1.052,0.975737,2025-11-11
45,susds,susds,sUSDS,1.083,3792212542,46,87181483.00,1.088,1.061,0.007792,0.72452,-1.37866e+08,-3.50796,341719.365258,341719.365258,,1.11,0.961716,2025-11-11
46,bittensor,tao,Bittensor,376.59,3601669203,47,209489423.00,395.82,369.46,6.06,1.63481,3.44535e+07,0.96584,9597491,20,21000000,757.6,30.83,2025-11-11
47,internet-computer,icp,Internet Computer,6.47,3491215809,48,500371941.00,7.18,6.25,-0.301910609332543,-4.45757,-1.631e+08,-4.46322,5396655.4799142,5396655.4799142,,700.65,2.23,2025-11-11
48,near,near,NEAR Protocol,2.71,3460144876,49,552724835.00,2.88,2.64,-0.1171168517280776,-4.14857,-1.52255e+08,-4.21478,12796473,12796471,,20.44,0.526762,2025-11-11
49,aave,aave,Aave,215.02,3279830334,50,487756222.00,231.36,214.23,-2.037415997405674,-0.93864,-3.55365e+07,-1.07187,15268519.5555788,10,16000000,661.69,26.02,2025-11-11
50,paypal-usd,pyusd,PayPal USD,0.999671,3105664369,51,124455001.00,1.001,0.999159,-0.0006696933956568,-0.06695,1.10517e+08,3.68987,35968799.982255,35968799.982255,,1.021,0.959426,2025-11-11
51,bitget-token,bgb,Bitget Token,4.11,2880967069,52,66116051.00,4.18,4.08,0.03119231,0.76399,2.01056e+07,0.70278,6999935.97876,9199935.97876,2000000000,8.45,0.0142795,2025-11-11
52,usd1-wlfi,usd1,USD1,0.999502,2850487855,53,282646878.00,0.999864,0.998714,0.00037196,0.03723,2.68961e+06,0.09445,28527153.8825,28527153.8825,,1.025,0.989633,2025-11-11
53,pump-fun,pump,Pump.fun,0.00453574,2664403093,54,430401451.00,0.00480835,0.00427585,0.0001808,4.15155,1.11502e+09,71.96505,50,999989328155.6686,1000000000000,0.00881908,0.00228323,2025-11-11
54,okb,okb,OKB,125.8,2641159535,55,41776161.00,128.99,124.26,-0.7106617411318439,-0.56175,-1.39772e+07,-0.52642,20,20,21000000,255.5,0.580608,2025-11-11
55,c1usd,c1usd,Currency One USD,1.0,2550503207,56,174860.00,1,0.995026,0.00017698,0.0177,450822,0.01768,25,25,2550000000,1.084,0.963687,2025-11-11
56,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2523739820,57,0.00,1,1,0.0,0.0,-2.99376e+08,-10.60445,25237398.1449,25237398.1449,,1,1,2025-11-11
57,pepe,pepe,Pepe,5.99e-06,2515081920,58,379023598.00,6.31e-06,5.94e-06,-8.821614175e-08,-1.45202,-4.74907e+07,-1.85324,460,460,420690000000000,2.803e-05,5.5142e-08,2025-11-11
58,ethereum-classic,etc,Ethereum Classic,16.03,2471146288,59,97432611.00,16.71,15.79,-0.0864489183145806,-0.53651,-1.76094e+07,-0.70756,154283883.7483838,154283883.7483838,210700000,167.09,0.615038,2025-11-11
59,ethena,ena,Ethena,0.326024,2415272982,60,367487073.00,0.3587,0.323463,-0.0047363871152957,-1.43197,-4.78251e+07,-1.94166,74234370,1,,1.52,0.195078,2025-11-11
60,aptos,apt,Aptos,3.22,2324603867,61,337688337.00,3.36,3.16,0.03056408,0.95685,7.59033e+06,0.32759,79936.6636425,1183841441.188864,,19.92,2.41,2025-11-11
61,jito-staked-sol,jitosol,Jito Staked SOL,199.48,2322377148,62,20895290.00,212.16,199.07,-5.972729509385573,-2.90707,-7.80254e+07,-3.25051,116545.44529496,116545.44529496,,339.52,0.57898,2025-11-11
62,aster-2,aster,Aster,1.093,2205541831,63,672763168.00,1.14,1.057,0.03509985,3.31761,7.14601e+07,3.34852,17,,8000000000,2.41,0.099713,2025-11-11
63,tether-gold,xaut,Tether Gold,4097.33,2138081228,64,13007659115.00,4134.67,4077.41,17.27,0.4232,7.6775e+06,0.36038,5289.3,5289.3,,4392.88,1447.84,2025-11-11
64,ondo-finance,ondo,Ondo,0.669952,2111615079,65,78863834.00,0.703501,0.665377,-0.0050768741305065,-0.7521,-1.71191e+07,-0.80419,31597529,0,10000000000,2.14,0.082171,2025-11-11
65,binance-peg-weth,weth,Binance-Peg WETH,3492.86,2106606463,66,72077939.00,3636.3,3473.22,-34.03996158541713,-0.96515,-2.08143e+07,-0.97838,4999.9999588211,4999.9999588211,,4955.78,1394.32,2025-11-11
66,falcon-finance,usdf,Falcon USD,0.999752,2105855248,67,2552550.00,1.002,0.995292,0.00117405,0.11757,448255,0.02129,256234.9801,256234.9801,,1.075,0.943422,2025-11-11
67,jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,5.08,2090846314,68,82404163.00,5.24,5.08,-0.07123349058637,-1.3827,-2.58709e+07,-1.22222,411397417.7942,411397417.7942,,5.99,0.146839,2025-11-11
68,wrapped-solana,sol,Wrapped SOL,160.63,2028778920,69,988786916.00,171.57,160.29,-4.85334956012926,-2.9329,-6.90869e+07,-3.2932,12646797.143166,12646797.143166,,290.3,8.11,2025-11-11
69,pi-network,pi,Pi Network,0.230495,1915212781,70,30588113.00,0.235883,0.227821,0.00267403,1.17374,2.26826e+07,1.19853,879529.357794,127814691.31968,100000000000,2.99,0.172081,2025-11-11
70,polygon-ecosystem-token,pol,POL (ex-MATIC),0.176924,1859724026,71,78040520.00,0.184743,0.176108,-0.0018387305848099,-1.02858,-1.91632e+07,-1.01992,534582487.724,534582487.724,,1.29,0.128391,2025-11-11
71,usdtb,usdtb,USDtb,1.0,1832939345,72,251331.00,1.003,0.99562,0.00109714,0.10981,2.10972e+06,0.11523,1833592338.746182,1833577338.746182,,1.057,0.900502,2025-11-11
72,worldcoin-wld,wld,Worldcoin,0.805749,1824142872,73,153155307.00,0.842853,0.791452,-0.0071369386960361,-0.87798,-2.14033e+07,-1.15973,22493867.564782,0,10000000000,11.74,0.583741,2025-11-11
73,filecoin,fil,Filecoin,2.41,1710539789,74,572822439.00,2.63,2.34,-0.0996540455597689,-3.97418,-6.81205e+07,-3.82988,76413,1958821474,1958821474,236.84,0.848008,2025-11-11
74,kucoin-shares,kcs,KuCoin,13.14,1700802415,75,7267810.00,13.36,13.07,-0.0515614717540557,-0.39087,-1.03613e+07,-0.60551,129728856.7355671,142228856.7355671,,28.83,0.342863,2025-11-11
75,htx-dao,htx,HTX DAO,1.82e-06,1694504596,76,13471210.00,1.82e-06,1.8e-06,1.7152e-08,0.95046,1.59932e+07,0.95282,9149437822426,9149437822426,999990000000000,3.75e-06,8.00816e-07,2025-11-11
76,official-trump,trump,Official Trump,8.2,1639399594,77,1279554403.00,9.5,8.17,-0.7327299012771036,-8.20304,-1.44453e+08,-8.09782,19999997387224,,1000000000,73.43,4.29,2025-11-11
77,algorand,algo,Algorand,0.182396,1601477736,78,90044605.00,0.191236,0.179005,-0.0026869958629058,-1.45178,-2.51721e+07,-1.54748,8793277512.631683,8793395926.6284,10000000000,3.56,0.087513,2025-11-11
78,arbitrum,arb,Arbitrum,0.286031,1571964839,79,204022340.00,0.311549,0.284446,-0.0074097575161252,-2.52513,-4.91436e+07,-3.03148,59691911,0,10000000000,2.39,0.209573,2025-11-11
79,vechain,vet,VeChain,0.01828323,1563094018,80,52975080.00,0.0180025,0.0170222,0.00122543,7.18397,9.71585e+07,6.62774,859841177,859841177,86712634466,0.280991,0.00191713,2025-11-11
80,rocket-pool-eth,reth,Rocket Pool ETH,4012.9,1520576955,81,34546132.00,4167.42,3989.25,-17.30019390601319,-0.42926,-2.62678e+07,-1.69815,3324.57553877,3324.57553877,,5618.08,887.26,2025-11-11
81,binance-staked-sol,bnsol,Binance Staked SOL,174.04,1476731823,82,3212624.00,185.64,173.15,-5.550086209019412,-3.09036,-2.84919e+07,-1.89287,86427.15588457,86427.15588457,,297.96,100.21,2025-11-11
82,hash-2,hash,Provenance Blockchain,0.02881682,1465928394,83,5642.74,0.0319622,0.0282683,-0.0031412035869099,-9.82916,-1.09957e+08,-6.97746,9749482,,100000000000,0.060147,0.01378736,2025-11-11
83,cosmos,atom,Cosmos Hub,3.07,1461050605,84,82062721.00,3.14,2.99,0.02191333,0.71955,7.24244e+06,0.49817,4775325.7457,477594181.4975,,44.45,1.16,2025-11-11
84,gatechain-token,gt,Gate,11.9,1396834849,85,4666182.00,12.32,11.81,-0.1185202576787549,-0.9862,-1.25474e+07,-0.89028,117344473.531142,0,,25.94,0.25754,2025-11-11
85,kaspa,kas,Kaspa,0.05148,1376458079,86,40642300.00,0.053809,0.05095,-0.0003952896948275,-0.762,-1.34522e+07,-0.96784,267771486.726,2664937449219,28704026601,0.207411,0.00017105,2025-11-11
86,pax-gold,paxg,PAX Gold,4101.5,1367145326,87,181284971.00,4136.32,4084.74,16.74,0.40977,6.72412e+06,0.49427,333354.594,333354.594,,4448.72,1399.64,2025-11-11
87,kinetic-staked-hype,khype,Kinetiq Staked HYPE,39.86,1352862846,88,36267787.00,42.31,39.69,-1.2142317904636997,-2.95637,-5.18466e+07,-3.69091,3597.38212682,3597.38212682,,59.44,29.77,2025-11-11
88,bfusd,bfusd,BFUSD,0.999664,1319684465,89,8980351.00,0.999899,0.999419,-7.2786357164012e-05,-0.00728,2655.1,0.0002,13,13,,1.007,0.99712,2025-11-11
89,binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999007,1288126445,90,1003470937.00,1.002,0.998357,-0.0016127636983536,-0.16118,1.27498e+06,0.09908,1288999879.8394,1288999879.8394,,1.031,0.942892,2025-11-11
90,syrupusdt,syrupusdt,syrupUSDT,1.1,1284150776,91,561065.00,1.1,1.1,0.00152319,0.13841,1.4154e+07,1.11449,11656948.344336,11656948.344336,,1.11,1.093,2025-11-11
91,wbnb,wbnb,Wrapped BNB,976.32,1272848031,92,528283588.00,1006.25,973.25,-3.069638901780877,-0.31342,-1.89779e+06,-0.14888,1371928311586,1371928311586,,1372.03,23.6,2025-11-11
92,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3693.07,1270775997,93,198375.00,3834.65,3660.13,-19.79038370585522,-0.53302,-1.08432e+07,-0.84606,345131.15955219,345131.15955219,,5190.42,1029.61,2025-11-11
93,render-token,render,Render,2.43,1257032503,94,105715837.00,2.63,2.38,-0.1891695562607922,-7.22112,-1.01268e+08,-7.45547,518584616.16741,533344789.44741,644245094,13.53,0.03665669,2025-11-11
94,quant-network,qnt,Quant,85.86,1248523497,95,17702267.00,87.19,82.68,2.55,3.0639,3.70424e+07,3.05761,14544176.1681177,14612493,14612493,427.42,0.215773,2025-11-11
95,ignition-fbtc,fbtc,Function FBTC,103181.0,1232146742,100,243050.00,107699,101438,-826.6684765421523,-0.79481,-1.8798e+07,-1.5027,11956.148546,11956.148546,,127954,11469.83,2025-11-11
96,sky,sky,Sky,0.053389,1221853222,96,14581395.00,0.058481,0.053067,-0.0015275653239526,-2.78159,-3.88834e+07,-3.08418,22914967436.64112,23462665147.36596,23462665147,0.100535,0.03582727,2025-11-11
97,syrupusdc,syrupusdc,syrupUSDC,1.14,1217338511,97,5289784.00,1.14,1.13,0.00018625,0.0164,2.07023e+07,1.73004,719313.1313,719313.1313,,1.14,1.055,2025-11-11
98,flare-networks,flr,Flare,0.01553592,1217057672,98,9399686.00,0.0165052,0.0155015,-0.0006934332616824,-4.27271,-5.3977e+07,-4.24669,783468642.36,428487.1871,,0.150073,0.00827405,2025-11-11
99,lombard-staked-btc,lbtc,Lombard Staked BTC,103427.0,1216068909,99,13737624.00,107161,103270,-1280.4865119400638,-1.22292,-3.75257e+07,-2.99345,11772.151146,11772.151146,,125812,52119,2025-11-11
100,story-2,ip,Story,3.73,1204964051,101,45246777.00,4.02,3.63,0.087081,2.39066,2.76017e+07,2.34437,3232143334,17597257.84,,14.78,1,2025-11-11
101,liquid-staked-ethereum,lseth,Liquid Staked ETH,3751.69,1180841836,102,124112.00,3909.2,3745.11,-56.76282904227219,-1.49044,-1.7353e+07,-1.44826,314748.9684733681,314748.9684733681,,5334.09,1384.61,2025-11-11
102,sei-network,sei,Sei,0.182218,1135027104,103,153749719.00,0.192479,0.178993,-0.0012842797720687,-0.69987,-9.31053e+06,-0.81362,6248888888,0,,1.14,0.095364,2025-11-11
103,jupiter-exchange-solana,jup,Jupiter,0.351284,1129766105,104,45297061.00,0.371846,0.347796,-0.0021829647482643,-0.61759,-1.09401e+07,-0.95906,3218688888.86,699099.779887,10000000000,2,0.212468,2025-11-11
104,nexo,nexo,NEXO,1.084,1083627647,105,10139168.00,1.14,1.074,-0.0299950839679925,-2.69262,-3.23428e+07,-2.89818,,,1000000000,4.07,0.04515276,2025-11-11
105,xdce-crowd-sale,xdc,XDC Network,0.060636,1075946487,106,38022434.00,0.062646,0.060352,-0.0003088700174488,-0.5068,-6.4813e+06,-0.59877,17756741879.6,332318537.5,,0.192754,0.00039532,2025-11-11
106,renzo-restaked-eth,ezeth,Renzo Restaked ETH,3712.86,1070015555,107,881371.00,3861.41,3692.44,-28.41424943833636,-0.75948,-1.05592e+07,-0.97718,288418.285376,288418.285376,,5227.06,1454.43,2025-11-11
107,global-dollar,usdg,Global Dollar,0.999766,1066085452,108,25246033.00,1,0.99968,-0.0001571160474462,-0.01571,-193054,-0.01811,66315295.772334,66315295.772334,,1.65,0.907561,2025-11-11
108,bonk,bonk,Bonk,1.291e-05,1059558285,109,149531079.00,1.366e-05,1.285e-05,-1.85678023826e-07,-1.41757,-1.72317e+07,-1.60029,821869684274272,879952875657.31,87995302875657,5.825e-05,8.6142e-08,2025-11-11
109,morpho,morpho,Morpho,2.0,1050985602,111,25748797.00,2.05,1.99,0.00430368,0.21581,-218726,-0.02081,5258891.6921722,,1000000000,4.17,0.713151,2025-11-11
110,ripple-usd,rlusd,Ripple USD,0.99987,1050236340,110,118788708.00,1.001,0.999169,-0.0003259584359637,-0.03259,-69725.1,-0.00664,1982.539998,1982.539998,,1.073,0.962292,2025-11-11
111,aerodrome-finance,aero,Aerodrome Finance,1.16,1045300889,113,242196347.00,1.28,1.037,0.124471,12.00371,1.09102e+08,11.65378,224.2425916,171856.0866,,2.32,1.861e-05,2025-11-11
112,solv-btc,solvbtc,Solv Protocol BTC,103401.0,1044730798,112,231248.00,106651,103219,-959.992312445378,-0.91987,-8.65673e+06,-0.8218,3.64777555392,3.64777555392,21000000,125693,49058,2025-11-11
113,hashnote-usyc,usyc,Circle USYC,1.11,987098100,114,3415.62,nan,nan,,,nan,,8929956.789742,8929956.789742,,1.12,1.026,2025-11-07
114,first-digital-usd,fdusd,First Digital USD,0.99655,983810619,115,1734955839.00,1,0.994972,-0.0005969359842543,-0.05986,3.24413e+06,0.33084,986192811.961682,986192811.961682,,1.15,0.940377,2025-11-11
115,pudgy-penguins,pengu,Pudgy Penguins,0.01545907,970244454,116,180199965.00,0.0165051,0.0153632,-0.0002164665637668,-1.38092,-1.46758e+07,-1.49005,62839,7931215.68387,88888888888,0.068447,0.00371517,2025-11-11
116,fetch-ai,fet,Artificial Superintelligence Alliance,0.357325,929825871,117,327855063.00,0.387184,0.33325,0.02301011,6.88276,5.81873e+07,6.67562,24849776.672,2714384546.672,2714384546,3.45,0.00816959,2025-11-11
117,virtual-protocol,virtual,Virtuals Protocol,1.38,903082431,118,553343045.00,1.49,1.35,-0.0366858165308381,-2.58766,-2.64811e+07,-2.84876,658.5934123,,1000000000,5.07,0.00748604,2025-11-11
118,pancakeswap-token,cake,PancakeSwap,2.63,888494941,119,267465940.00,2.79,2.46,0.162662,6.5986,5.40892e+07,6.48237,3384313.93824,3593479.92683,450000000,43.96,0.194441,2025-11-11
119,immutable-x,imx,Immutable,0.45088,885104509,120,56725100.00,0.503682,0.441686,0.0090861,2.05664,1.53888e+07,1.7694,19644557.389814,,2000000000,9.52,0.334412,2025-11-11
120,dash,dash,Dash,69.2,862885548,121,373203119.00,78.53,66.37,-9.206553940947842,-11.74274,-1.16462e+08,-11.89181,124796.842189,124796.817217,18920000,1493.59,0.213899,2025-11-11
121,mantle-staked-ether,meth,Mantle Staked Ether,3762.81,858031056,122,2307862.00,3920.61,3752.15,-28.70547782342919,-0.7571,-2.20068e+07,-2.50067,2287.35874563,2287.35874563,,5312.55,1485.62,2025-11-11
122,arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),103508.0,837731073,123,145959092.00,107187,103142,-1227.9993486649182,-1.17247,-1.15653e+07,-1.36175,81.43661276,81.43661276,,126226,49594,2025-11-11
123,celestia,tia,Celestia,0.994637,830418458,125,122162714.00,1.056,0.970286,-0.0026904010843302,-0.26976,-3.7936e+06,-0.45475,8371391.274847,11517659.766778,,20.85,0.510806,2025-11-11
